MSZoning,LotArea,LotShape,Utilities,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,Functional,GarageType,GarageArea,PavedDrive,YrSold,SaleType,SaleCondition,SalePrice
RL,8450,Reg,AllPub,1Fam,2Story,7,5,2003,GasA,Y,SBrkr,856,854,Typ,Attchd,548,Y,2008,WD,Normal,208500
RL,9600,Reg,AllPub,1Fam,1Story,6,8,1976,GasA,Y,SBrkr,1262,0,Typ,Attchd,460,Y,2007,WD,Normal,181500
RL,11250,IR1,AllPub,1Fam,2Story,7,5,2001,GasA,Y,SBrkr,920,866,Typ,Attchd,608,Y,2008,WD,Normal,223500
RL,9550,IR1,AllPub,1Fam,2Story,7,5,1915,GasA,Y,SBrkr,961,756,Typ,Detchd,642,Y,2006,WD,Abnorml,140000
RL,14260,IR1,AllPub,1Fam,2Story,8,5,2000,GasA,Y,SBrkr,1145,1053,Typ,Attchd,836,Y,2008,WD,Normal,250000
RL,14115,IR1,AllPub,1Fam,1.5Fin,5,5,1993,GasA,Y,SBrkr,796,566,Typ,Attchd,480,Y,2009,WD,Normal,143000
RL,10084,Reg,AllPub,1Fam,1Story,8,5,2004,GasA,Y,SBrkr,1694,0,Typ,Attchd,636,Y,2007,WD,Normal,307000
RL,10382,IR1,AllPub,1Fam,2Story,7,6,1973,GasA,Y,SBrkr,1107,983,Typ,Attchd,484,Y,2009,WD,Normal,200000
RM,6120,Reg,AllPub,1Fam,1.5Fin,7,5,1931,GasA,Y,FuseF,1022,752,Min1,Detchd,468,Y,2008,WD,Abnorml,129900
RL,7420,Reg,AllPub,2fmCon,1.5Unf,5,6,1939,GasA,Y,SBrkr,1077,0,Typ,Attchd,205,Y,2008,WD,Normal,118000
RL,11200,Reg,AllPub,1Fam,1Story,5,5,1965,GasA,Y,SBrkr,1040,0,Typ,Detchd,384,Y,2008,WD,Normal,129500
RL,11924,IR1,AllPub,1Fam,2Story,9,5,2005,GasA,Y,SBrkr,1182,1142,Typ,BuiltIn,736,Y,2006,New,Partial,345000
RL,12968,IR2,AllPub,1Fam,1Story,5,6,1962,GasA,Y,SBrkr,912,0,Typ,Detchd,352,Y,2008,WD,Normal,144000
RL,10652,IR1,AllPub,1Fam,1Story,7,5,2006,GasA,Y,SBrkr,1494,0,Typ,Attchd,840,Y,2007,New,Partial,279500
RL,10920,IR1,AllPub,1Fam,1Story,6,5,1960,GasA,Y,SBrkr,1253,0,Typ,Attchd,352,Y,2008,WD,Normal,157000
RM,6120,Reg,AllPub,1Fam,1.5Unf,7,8,1929,GasA,Y,FuseA,854,0,Typ,Detchd,576,Y,2007,WD,Normal,132000
